序号,中标企业,省份数量,预算金额(亿元)
1,润建股份有限公司,21,37.2
2,广东长实通信科技有限公司,13,23.6
3,广东海格怡创科技有限公司,16,22.6
4,嘉环科技股份有限公司,10,15.4
5,宜通世纪科技股份有限公司,11,14.5
6,中通服建设有限公司,,13
7,贝通通信集团有限公司,,
8,武汉虹信技术服务有限责任公司,,
9,和勤通信技术有限公司,,
10,浙江省邮电工程建设有限公司,,
